Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
;;"Набор для творчества. Кристальная мозаика
В набор входит: цветная схема на картоне с клеевым слоем и защитной пленкой, лоток, стилус, cиликоновая пластина, стразы, инструкция.";"Craft kit. Diamond painting
The kit contains: colour chart on cardboard with a sticky layer and a protective film, tray, stylus, silicone plate, rhinestones, instructions.";;"Шы?армашылы??а арнал?ан жина?. Кристалды мозаика
Жина??а мыналар кіреді: желім ?абаты ж?не ?ор?аныс пленкасы бар картонда т?рлі-т?сті схемасы, науа, стилус, силикон та?та,  ринстондар, н?с?аулы?.";"Kreativkit. Kristallische Mosaik
Das kit besteht aus: farbiges Schema auf Pappe mit Klebeschicht und Schutzfilm, Tablett, Strass-Stift, Silikonplatte, Strasssteine, Anleitung.";"Kit cr?ation. Mosa?que de cristal
Le kit comprend: diagramme en couleur sur carton avec une couche adh?sive et un film de protection, plateau, stylet, plaque de silicone, strass, instruction.";"Kit para creatividad. Mos?ico de cristal
El kit incluye: esquema de color en cart?n con capa adhesiva y pel?cula protectora, bandeja, stylus, placa de silicona, diamantes de imitaci?n, instrucciones. ";;"Набор для творчасці. Крышталёвая мазаіка
У набор уваходзіць: каляровая схема на кардоне з клеевым пластом і ахоўнай плёнкай, латок, стілус, сіліконавая пласціна, стразы, інструкцыя. ";;;"Чыгармачылык топтом. Кристалл мозаика 
Топтомдо камтылган: желимд?? катмар жана коргоочу пленка менен картонго т?с схемасы,  лоток, стилус, cиликон такта, ринстон, нускама.";"Ijod uchun to'plam. Kristall mozaik
To‘plamga quyidagilar kiradi: yopishqoq qatlam va himoya plyonka bilan kartonga rang sxemasi, laganda, stilus, silikon taxta, rinstones, ko‘rsatma.";
;;"Набор для творчества. Кристальная мозаика
В набор входит: цветная схема на картоне с клеевым слоем и защитной пленкой, крепление для картины, лоток, стилус, cиликоновая пластина, стразы, инструкция.";"Craft kit. Diamond painting
The kit contains: colour chart on cardboard with a sticky layer and a protective film, picture fastening, tray, stylus, silicone plate, rhinestones, instructions.";;"Шы?армашылы??а арнал?ан жина?. Кристалды мозаика
Жина??а мыналар кіреді: желім ?абаты ж?не ?ор?аныс пленкасы бар картонда т?рлі-т?сті схемасы, суретке арнал?ан ілмек. науа, стилус, силикон та?та,  ринстондар, н?с?аулы?.";"Kreativkit. Kristallische Mosaik
Das kit besteht aus: farbiges Schema auf Pappe mit Klebeschicht und Schutzfilm, Bildhalterung, Tablett, Strass-Stift, Silikonplatte, Strasssteine, Anleitung.";"Kit cr?ation. Mosa?que de cristal
Le kit comprend: diagramme en couleur sur carton avec une couche adh?sive et un film de protection, fixation de l'image, plateau, stylet, plaque de silicone, strass, instruction.";"Kit para creatividad. Mos?ico de cristal
El kit incluye: esquema de color en  cart?n con capa adhesiva y pel?cula protectora, fijaci?n de cuadros, bandeja, stylus, placa de silicona, diamantes de imitaci?n, instrucciones. ";;"Набор для творчасці. Крышталёвая мазаіка
У набор уваходзіць: каляровая схема на кардоне з клеевым пластом і ахоўнай плёнкай, падвес для карціны, латок, стілус, сіліконавая пласціна, стразы, інструкцыя. ";;;"Чыгармачылык топтом. Кристалл мозаика 
Топтомдо камтылган: желимд?? катмар жана коргоочу пленка менен  картонго т?с схемасы, с?р?т ?ч?н илгич, лоток, стилус, cиликон такта, ринстон, нускама.";"Ijod uchun to'plam. Kristall mozaik
To‘plamga quyidagilar kiradi: yopishqoq qatlam va himoya plyonka bilan kartonga rang sxemasi, rasm uchun ilgagi, laganda, stilus, silikon taxta, rinstones, ko‘rsatma.";
;;"Набор для творчества. Кристальная мозаика
В набор входит: полиэстеровый холст с клеевым слоем и защитной пленкой на подрамнике, лоток, cтилус (также может вкладываться пинцет, если в дизайне используются квадратные стразы), силиконовая пластина, стразы, пакеты зип-лок, крепление для картины.";"Craft kit. Diamond painting
The kit contains: polyester fabric with a sticky layer and a protective film on an underframe, tray, stylus (tweezers are included in the kit if the design contains square rhinestones), silicone plate,
rhinestones, zip lock packages, picture fastening.";;"Шы?армашылы??а арнал?ан жина?.
Кристалды мозаика
Жина??а мыналар кіреді: кергіштегі желім ?абаты мен ?ор?аныс пленкасы бар полиэстер кенеп, науа, стилус (eгер дизайн шаршы ринстондар т?рады, жина??а кіреде пинцет), силикон та?та, ринстондар, зип-лок пакеттері, суретке арнал?ан ілмек.";;;;;"Набор для творчасцi. Крышталёвая мазаiка
У набор уваходзіць: поліэстэравае палатно з клеевым пластом і ахоўнай плёнкай на падрамніку, латок, стілус (пінцэт ўваходзіць у камплект, калі дызайн змяшчае квадратныя стразы), сіліконавая пласціна, стразы, пакеты зіп-лок, падвес для карціны.";;;"Чыгармачылык топтом. Кристалл мозаика
Топтомдо камтылган: желимд?? катмар жана коргоочу пленкасы бар алкактагы полиэстер кенеп, лоток, стилус (эгер дизайнда т?рт бурчтуу ринстон таштары колдонулса, анда пинцет камтылган), силикон такта, ринстон, зип-лок пакеттер, с?р?т ?ч?н илгич.";"Ijodkorlik uchun to'plam. Kristalli mozaika
To‘plamga quyidagilar kiradi: yopishqoq qatlam va himoya plyonkali ramkada poliester tuval, laganda, stilus (dizaynda kvadrat rinstones ishlatilsa, pinset ham kiritilishi mumkin), silikon taxta, rinstones, zip-lok sumkalar, rasm uchun ilgagi.";
;;"Набор для творчества. Кристальная мозаика
В набор входит: полиэстеровый холст с клеевым слоем и защитной пленкой на подрамнике, лоток, cтилус (также может вкладываться пинцет, если в дизайне используются квадратные стразы), силиконовая пластина, стразы, светодиодная гирлянда с батарейками, инструкция по креплению гирлянды, пакеты зип-лок, крепление.
";"EN: Craft kit. Diamond painting 
The kit contains: polyester fabric with a sticky layer and protective film on an underframe, tray, stylus (tweezers are included in the kit if the design contains square rhinestones), silicone plate, rhinestones, LED garland with batteries, instructions for mounting the garland, zip lock packages, picture hanger hook.
";;"Шы?армашылы??а арнал?ан жина?. Кристалды мозаика 
Жина??а мыналар кіреді: кергіштегі желім ?абаты мен ?ор?аныс пленкасы бар полиэстер кенеп, науа, стилус (eгер дизайн шаршы ринстондар т?рады, жина??а кіреде пинцет), силикон та?та, ринстондар, батареялары бар жары?диодты гирлянда, гирлянданы бекіту бойынша н?с?аулы?, зип-лок пакеттері, суретке арнал?ан ілмек.";;;;;"Набор для творчасцi. Крышталёвая мазаiка 
У набор уваходзіць: поліэстэр палатно з клеевым пластом і ахоўнай плёнкай на падрамніку, латок, стілус (пінцэт ўваходзіць у камплект, калі дызайн змяшчае квадратныя стразы), сіліконавая пласціна, стразы, святлодыёдная гірлянда з батарэйкамі, інструкцыя па мацаванні гірлянды, пакеты зіп-лок, падвес для карціны.";;;"Чыгармачылык топтому. Кристалл мозаика 
Топтомдо камтылган: желимд?? катмар жана коргоочу пленкасы бар алкактагы полиэстер кенеп, лоток, стилус (эгер дизайнда т?рт бурчтуу ринстон таштары колдонулса, анда пинцет камтылган), силикон такта, ринстон, батареялар менен жарык диоддук гирлянда, гирлянданы бекит?? боюнча нускама, зип-лок пакеттер, с?р?т ?ч?н илгич.";"Ijodkorlik uchun to'plam. Kristalli mozaika 
To‘plamga quyidagilar kiradi: yopishqoq qatlam va himoya plyonkali ramkada poliester tuval, laganda, stilus (dizaynda kvadrat rinstones ishlatilsa, pinset ham kiritilishi mumkin), silikon taxta, rinstones, batareyalar bilan LED gulchambar, gulchambarni mahkamlash bo'yicha ko'rsatma, zip-lok sumkalar, rasm uchun ilgagi.";
;;"Картины по номерам на магнитном холсте
В набор входит: 2 магнитных холста с нанесенным рисунком, акриловые краски в баночках, кисть, инструкция с контрольным листом, схемой смешения цветов и эталоном готовой работы.";"Paintings by numbers on magnetic canvas
The kit contains: 2 magnetic canvases with printed pattern, acrylic paints in jars, brush, instructions with a checklist, a colour mixing scheme and a template of the finished work.";;"Магниттік кенептегі сандар бойынша суреттер
Жина??а мыналар кіреді: ?лгімен 2 магниттік кенеп, ??мыраларда?ы акрил бояулары, ?ыл?алам, ба?ылау пара?ы, т?стерді араластыру схемасы ж?не дайын ж?мыс ?лгісі бар н?с?аулы?.";;;;;"Карціны па нумарах на магнітным палатне
У набор уваходзіць: 2 магнітных палатна з нанесеным малюнкам, акрылавыя фарбы ў слоічках, пэндзаль, інструкцыя з кантрольным лістом, схемай змешвання колераў і эталонам гатовай працы.";;;"Магниттик кенептеги сандар боюнча с?р?тт?р
Топтомдо камтылган: 2 ?лг? менен магниттик кенеп, банкалардагы акрил боектору, кисть, контролдоо баракчасы, т?ст?рд? аралаштыруу схемасы жана даяр иштин ?лг?с? менен нускама.";"Magnit xolstdagi raqamlar bo'yicha rasmlar
To‘plamga quyidagilar kiradi: rasmli bilan 2 magnit tuval, bankalardagi akril bo'yoqlar, cho'tka, nazorat varag'i, ranglarni aralashtirish sxemasi va tayyor ishning namunasi bilan ko'rsatma.";
;;"Картины по номерам на магнитном холсте
В набор входит: 1 магнитный холст с нанесенным рисунком, акриловые краски в баночках, кисть, инструкция с контрольным листом, схемой смешения цветов и эталоном готовой работы.";"Paintings by numbers on magnetic canvas
The kit contains: 1 magnetic canvas with printed pattern, acrylic paints in jars, brush, instructions with a checklist, a colour mixing scheme and a template of the finished work.";;"Магниттік кенептегі сандар бойынша суреттер
Жина??а мыналар кіреді: 1 ?лгімен магниттік кенеп, ??мыраларда?ы акрил бояулары, ?ыл?алам, ба?ылау пара?ы, т?стерді араластыру схемасы ж?не дайын ж?мыс ?лгісі бар н?с?аулы?.";;;;;"Карціны па нумарах на магнітным палатне
У набор уваходзіць: 1 магнітнае палатно з нанесеным малюнкам, акрылавыя фарбы ў слоічках, пэндзаль, інструкцыя з кантрольным лістом, схемай змешвання колераў і эталонам гатовай працы.";;;"Магниттик кенептеги сандар боюнча с?р?тт?р
Топтомдо камтылган: 1 ?лг? менен магниттик кенеп, банкалардагы акрил боектору, кисть, контролдоо баракчасы, т?ст?рд? аралаштыруу схемасы жана даяр иштин ?лг?с? менен нускама.";"Magnit xolstdagi raqamlar bo'yicha rasmlar
To'plamga quyidagilar kiradi: 1 rasmli bilan magnit tuval, bankalardagi akril bo'yoqlari, cho'tka, nazorat varag'i, ranglarni aralashtirish sxemasi va tayyor ishning namunasi bilan ko?rsatma.

";
;;"Картина по номерам
В набор входит: холст с нанесенным рисунком на подрамнике, акриловые краски в баночках, три кисти разного размера, подвесы для готовой работы.";"Picture by numbers
The kit contains: canvas with printed pattern on an underframe, acrylic paints in jars, three brushes of different sizes, holders for the finished work.";;"Н?мiрлер бойынша сурет
Жина??а мыналар кіреді: ?лгімен кергіштегі кенеп, ??мыраларда?ы акрил бояулары,
т?рлі ?лшемі ?ш кыл?аламдар, дайын ж?мыс ?шін ?стаушылар.";;;;;"Карціна па нумарах
У набор уваходзіць: палатно з нанесеным малюнкам на падрамніку, акрылавыя
фарбы ў слоічках, тры пэндзля рознага памеру, падвескі для гатовай працы.";;;"Сандар боюнча с?р?т
Топтомдо камтылган: ?лг? менен алкактагы кенеп, банкалардагы акрил боектору, ар кандай ?лч?мд?г? ?ч щетка, даяр жумуш ?ч?н гимбалдар.";"Raqamlar bo'yicha rasm
To'plamga quyidagilar kiradi: rasmli bilan ramkada tuval, bankalardagi akril bo'yoqlari, turli o'lchamdagi uchta cho'tka, tayyor ish uchun suspenziyalar.";
;;"Картина по номерам
В набор входит: холст с нанесенным рисунком на подрамнике, акриловые краски в баночках, три кисти разного размера, контрольный лист с нанесенной схемой, подвесы для готовой работы.";"Picture by numbers
The kit contains: canvas with printed pattern on an underframe, acrylic paints in jars, three brushes of different sizes, a checklist with an applied scheme, holders for the finished work.";;"Н?мiрлер бойынша сурет
Жина??а мыналар кіреді: ?лгімен кергіштегі кенеп, ??мыраларда?ы акрил бояулары,
т?рлі ?лшемі ?ш кыл?аламдар, ?лгімен схемасы бар ба?ылау пара?ы, дайын ж?мыс ?шін ?стаушылар.";;;;;"Карціна па нумарах
У набор уваходзіць: палатно з нанесеным малюнкам на падрамніку, акрылавыя
фарбы ў слоічках, тры пэндзля рознага памеру, кантрольны ліст з нанесенай схемай, падвескі для гатовай працы.";;;"Сандар боюнча с?р?т
Топтомдо камтылган: ?лг? менен алкактагы кенеп, банкалардагы акрил боектору, ар кандай ?лч?мд?г? ?ч щетка, ?лг? менен схема бар контролдоо баракчасы, даяр жумуш ?ч?н гимбалдар.";"Raqamlar bo'yicha rasm
To'plamga quyidagilar kiradi: rasmli bilan ramkada tuval, bankalardagi akril bo'yoqlari, turli o'lchamdagi uchta cho'tka, rasmli sxemasi bilan nazorat varag'i, tayyor ish uchun suspenziyalar.";
;;"Картина по номерам
В набор входит: холст с нанесенным рисунком на подрамнике, акриловые краски в баночках, две кисти разного размера, контрольный лист с нанесенной схемой, подвесы для готовой работы.

";"Picture by numbers
The kit contains: canvas with printed pattern on an underframe, acrylic paints in jars, two brushes of different sizes, a checklist with an applied scheme, holders for the finished work.";;"Н?мiрлер бойынша сурет
Жина??а мыналар кіреді: ?лгімен кергіштегі кенеп, ??мыраларда?ы акрил бояулары,
т?рлі ?лшемі екі кыл?аламдар, ?лгімен схемасы бар ба?ылау пара?ы, дайын ж?мыс ?шін ?стаушылар.";;;;;"Карціна па нумарах
У набор уваходзіць: палатно з нанесеным малюнкам на падрамніку, акрылавыя
фарбы ў слоічках, дзве пэндзля рознага памеру, кантрольны ліст з нанесенай схемай, падвескі для гатовай працы.";;;"Сандар боюнча с?р?т
Топтомдо камтылган: ?лг? менен алкактагы кенеп, банкалардагы акрил боектору, ар кандай ?лч?мд?г? эки щетка, ?лг? менен схема бар контролдоо баракчасы, даяр жумуш ?ч?н гимбалдар.";"Raqamlar bo'yicha rasm
To'plamga quyidagilar kiradi: rasmli bilan ramkada tuval, bankalardagi akril bo'yoqlari, turli o'lchamdagi ikki cho'tka, rasmli sxemasi bilan nazorat varag'i, tayyor ish uchun suspenziyalar.";
Фрея, пазлы;;пазл;Jigsaw puzzle ;;пазл;;;;;пазл;;;пазл;puzl;
;;деревянный пазл;Wooden puzzle;;А?аш пазл;;;;;Драўляны пазл;;;Жыгач пазл;Yog'och puzl;
;;деревянный фигурный пазл;Figured wooden puzzle;;А?аш б?йра пазл;;;;;Драўляны фігурны пазл;;;Жыгач ойно пазл;Yog'och figurali puzl;
;;Состав: картон, бумага.;Composition: cardboard, paper.;;??рамы: картон, ?а?аз.;;;;;Склад: кардон, папера.;;;Курамы: картон, кагаз.;Tarkibi: karton, qog'oz.;
;;Состав: дерево, бумага.;Composition: wood, paper.;;??рамы: а?аш, ?а?аз.;;;;;Склад: дрэва, папера.;;;Курамы: жыгач, кагаз.;Tarkibi: yog'och, qog'oz.;
;;Место крепления пайетки бисером;bead-held sequin attachment point;Miejsce mocowania cekin?w do koralik?w;Пайетканы майда монша?пен бекіту орны;Pailletten-Befestigungspunkt mit Perlen;Endroit de fixation de la paillette par une perle;Lugar de fijaci?n de la lentejuela con alj?far;Attacco della pailettes con le perle di vetro;;;Plaats van bevestiging van pailletten met kralen;;;
;;Название товара;Product name;Nazwa produktu;Тауарды? атауы;Warenname;Nom du produit;Denominaci?n de la mercanc?a;Denominazione della merce;;;Productnaam;;;
;;Свеча столбик;Pillar candle;Kolumna ?wiec;Шам ба?аны;S?ulenkerze;Bougie colonnette;Vela pilar;Candela a colonnetta;;;Kaars kolom;;;
;;освежители воздуха ООО «Флюид» серии «Цветочная»;LTD Fluid air fresheners of Floral series;od?wie?acze powietrza Firma ООО «Fluid» seria «Floral»;«Г?л» сериялы «Флюид» ЖШ? ауа тазарт?ыштар;;SARL Fluide les d?sodorisants de la s?rie Florale;;;асвяжальнікі паветра ТАА «Флюід» серыі «Кветкавая»;;;«Флюид» ЖЧК «Г?лд??» сериясынын аба жыттандыргычтары;"havo tozalagich ""Flyuid"" MCHJ ""Gulli"" turkumi";
;;освежители воздуха ООО «Флюид» серии «Плодово-ягодная»;LTD Fluid air fresheners of Fruit and Berry series;od?wie?acze powietrza Firma ООО «Fluid» seria «Owoce i jagody»;«Жеміс-жидек» сериялы «Флюид» ЖШ? ауа тазарт?ыштар;;SARL Fluide les d?sodorisants de la s?rie de Fruit et de Baie;;;асвяжальнікі паветра ТАА «Флюид» серыі «Пладова-ягадная»;;;«Флюид» ЖЧК «М?м? жемиш-жер жемишт??» сериясынын аба жыттандыргычтары;"havo tozalagich ""Flyuid"" MCHJ ""Meva-rezavorli"" turkumi";
;;освежители воздуха ООО «Флюид» серии «Парфюмерная»;LTD Fluid air fresheners of Perfumery series;od?wie?acze powietrza Firma ООО «Fluid» seria «Perfumy»;«Парфюмериялы?» сериялы «Флюид» ЖШ? ауа тазарт?ыштар;;SARL Fluide les d?sodorisants de la s?rie de la Parfumerie;;;асвяжальнікі паветра ТАА «Флюід» серыі «Парфумерная»;;;«Флюид» ЖЧК «Парфюмердик» сериясынын аба жыттандыргычтары;"havo tozalagich ""Flyuid"" MCHJ ""Attorlik"" turkumi";
;;Избегайте контакта гранул с кожей и глазам;Avoid contact with skin and eyes;Unika? kontaktu ze sk?r? i oczami;;;;;;Пазбягайце кантакту гранул са скурай і вачамі;;;;;
;;кнопки пришивные;sew-on snap fasteners;przyciski do szycia;жапсырмалы т?ймелер;;coudre-sur snap attaches;;;кнопкі прышыўныя;;;тигилме басма-топчулар;tikilgan tugmalar;
;;фетр с рисунком;patterned felt;filc z rysunek;суреті бар ж??а киіз;;feutre avec motifs;;;фетр з малюнкам;;;с?р?т? менен фетр;rasmli bilan fetr;
;;фетр с металлизированным покрытием;felt with metallized coating;filc z metalizowana pow?oka;жабыны металдандырыл?ан ж??а киіз;;feutre avec rev?tement m?tallis?;;;фетр з металізаваным пакрыццём;;;металлдаштырылган каптоосу менен фетр;metall qoplamali fetr;
;;пальтовая ткань;coating fabric;tkanina p?aszczowa;пальтолы? мата;;tissu de manteau;;;пальтовая тканіна;;;пальто кездеме;palto mato;
;;специализированный мех для игрушек тедди (вискоза);special fur for teddy bear toys (viscose);specjalistyczne futro na zabawki pluszowe (wiskoza);тедди ойыншы?тарына арнал?ан арнайы тері (вискоза);;fourrure sp?ciale pour les nounours (viscose);;;спецыялізаваны мех для плюшавых цацак (віскоза);;;тедди оюнчуктары ?ч?н адистештирилген а? тери (вискоза);teddi o'yinchoqlari yasaladigan maxsus mo'yna (viskoza);
;;ткань 100% полиэстер;100% polyester fabric;100% tkanina poliestrowa;мата 100% полиэстер;;tissu (100% polyester);;;тканіна 100% поліэстэр;;;100% полиэстер кездеме;100% poliesterli mato;
;;картонные таблички;cardboard plaques;tabliczki tekturowe;картоннан жасал?ан жазбалар;Pappenschilder;plaques en carton;tarjetas de cart?n;targhette in cartone;кардонныя таблічкі;картонні таблички;;;;
;;металлические шайбы;metallic washers;podk?adki metalowe;металл ты?ыры?тарын;Metallscheiben;rondelles m?talliques;arandelas met?licas;rondelle metalliche;-;-;;;;
;;набор для шитья игрушки;toy sewing kit;zestaw do szycia zabawki;ойыншы?ты тігуге арнал?ан жина?;;kit de couture du jouet;;;набор для шыцця цацкі;;;;;
;;основа для рисования с напечатанными контурами;base for drawing with printed outlines;podstawa do malowania z wydrukowanymi konturami;басыл?ан контурлары бар сурет салу?а арнал?ан негіз;;;;;аснова для малявання з надрукаванымі контурамі;;;;;
;;цветной карандаш;coloured pencil;kolorowe o??wek;т?рлі-т?сті ?арындаш;;crayon de couleur;;;каляровы аловак;;;т?ст?? карандаш;rangli qalam;
;;цветные карандаши;coloured pencils;kolorowe o??wki;т?рлі-т?сті ?арындаштар;;crayons de couleur;;;каляровыя алоўкі;;;т?ст?? карандаштар;rangli qalamlar;
;;акварельные карандаши;watercolour pencils;kredki akwarelowe;акварель ?арындаштар;;;;;акварэльныя алоўкі;;;акварель карандаштар;akvarel qalamlar;
;;чернографитные карандаши;black lead pencils;grafitowe o??wki;?ара графитті ?арындаштар;;;;;графітныя алоўкі;;;кара графит карандаштар;qora grafit qalamlar;
;;водяная кисть;water brush;p?dzel wodny;су ?ыл?аламы;;;;;вадзяны пэндзаль;;;;;
;;точилка;pencil sharpener;temper?wka;?шта?ыш;;;;;фарматаўка;;;курчутууч;o'tkirlashtiruvchi;
;;ластик;eraser;gumka;?шіргіш;;;;;гумка;;;;;
;;изображения этапов в масштабе 1:1;full-scale depiction of stages;wizerunki etap?w w skali 1:1;1:1 масштабта?ы кезе?дерді? бейнесі;;;;;выявы этапаў у масштабе 1:1;;;;;
;;стропа;webbing strap;ta?ma ozdobna;матауыш;;ruban d?coratif;;;стропа;;;;;
;;силиконовая пластина;silicone plate;p?yta silikonowa;силикон та?та;silikonplatte;plaque de silicone;placa de silicona;;сіліконавая пласціна;;;силикон такта;silikon taxta;
старый вариант;;Нитки Gamma Cloud с бархатным эффектом;Gamma Cloud thread with a velvet effect;Nitki Gamma Cloud z efektem aksamitnym;Бар?ыт ?сері бар Gamma Cloud жіптері;Garne Gamma Cloud mit Samteffekt;Fils velout?s Gamma Cloud;Hilos Gamma Cloud con efecto de terciopelo;Filato Gamma Cloud con l’effetto di velluto;ніткі Gamma Cloud з аксамітным эфектам;нитки Gamma Cloud з оксамитовим ефектом;;баркыт натыйжасы менен Gamma Cloud жиптери;popok effektli Gamma Cloud iplari;
;;спица (вязальная) (для бархатного шва);knitting needle;drut;то?ыма біз;Stricknadel;l’aiguille ? tricoter;aguja de tejer;l'ago da calza;;;;;;
;;зажим для узла;;;т?йiн арнал?ан ?ыс?ыш;;;;;зацiск для вузла;;;;;
;;замок для бус;;;монша?тар?а арнал?ан к?лып;;;;;замак для пацер;;;;;
;;символ царевны Варвары;;;ханшайым символы (Варвара);;;;;сiмвал царэўны Барбары;;;;;
;;символ царевны Дарьи;;;ханшайым символы (Дарья);;;;;сiмвал царэўны Дар’i;;;;;
;;символ царевны Аленки;;;ханшайым символы (Аленка);;;;;сiмвал царэўны Аленкi;;;;;
;;Набор для создания украшений;;;Зергерлік б?йымдарды жасау?а арнал?ан жиынты?;;;;;Набор для стварэння упрыгожванняў;;;;;
;;зубочистка;toothpick;wyka?aczka;тіс ш??ы?ыш;;cure-dent;;;зубачыстка;;;тиш чукугуч;tish tozalagich;
;;зубочистки;toothpicks;wyka?aczki;тіс ш??ы?ыштар;;cure-dents;;;зубачысткі;;;тиш чукугучтар;tish tozalagichlar;
;;нашивка «handmade»;"patch ""handmade""";naszywka „handmade”;«handmade» жапсырма  «handmade» тігу жапсырма;;?cusson «handmade»;;;нашыўка «handmade»;;;«handmade» жазуусу  «handmade» тиг?? этикетка;«handmade» kashtali rasm «handmade» tikuv yorlig'i;
;;паспорт игрушки;toy passport;paszport zabawki;ойыншы? паспорты;;passeport de jouet;;;пашпарт цацкі;;;оюнчуктун паспорту;o'yinchoq pasporti;
;;деревянная палочка;wooden stick ;;а?аш тая?ша;;baguette en bois;;;;;;жыгач таякча;yog'och tayoqcha;
;;деревянные палочки;wooden sticks;;а?аш тая?шалар;;baguettes en bois;;;драўляныя палачкі;;;жыгач таякчалар;yog'och tayoqchalar;
;;Палочка бамбуковая;Bamboo stick;Bambusowy kij;бамбук тая?ша;Bambusstab;Baguette de bambou;Varita de bamb?;Bacchetta di bamb?;Палачка бамбукавыя;Паличка бамбукова;;Бамбук таякча; Bambuk tayoq;
;;швенза;french hook;haczyk na kolczyki;швенза;Ohrringehaken;crochet de boucle d'oreille;gancho para pendientes;gancio per orecchini;швенза;;;швенза;shvenza;
;;швензы;french hooks;haczyki na kolczyki;швензалар;Ohrringehaken;crochets de boucle d'oreille;ganchos para pendientes;ganci per orecchini;швензы;;;швензалар;shvenzalar;
;;кольца для швенз;rings for french hooks;pier?cienie do haczyk?w na kolczyki;швензалар арнал?ан са?иналар;Ringe f?r ohrringhaken;bagues de crochet de boucle d'oreille;anillos de gancho para pendientes;anelli di ganci per orecchini;кольцы для швенз;;;швензалар ?ч?н шакектер;shvenzalar uchun halqalar;
;;японский бисер TOHO;TOHO seed beads ;koraliki TOHO;майда монша?ы Жапония TOHO;Toho Glasperlen;perles de rocailles TOHO;abalorios de TOHO;perline TOHO;японскі бісер TOHO;;;япон бисери TOHO;Yapon biseri TOHO;
;;цепочка;chain;?a?cuch;ал?а;Kette;cha?ne ;cadena;catena;;;;;;
;;металлическое кольцо;metal ring;metalowy pier?cie?;металл са?ина;Metallring;bague m?tallique;anillo de metal;anello di metallo;металічнае кольца;;;металл шакек;metall halqa;
;;" краска по ткани
";textile paint;farba do tkanin; мата бояуы;;peinture textile;;;"фарба па тканіны
";;;кездеме боегу; mato bo'yoq;
;;" краски по ткани
";textile paints;farby do tkanin;мата бояулары;;peintures textile;;;"фарбы па тканіны
";;;кездеме боектору;mato bo'yoqlari;
;;краски по ткани в баночках;textile paints in jars;;??мыраларда?ы мата бояулары;;;;;фарбы па тканіны ў слоічках;;;банкалардагы кездеме боектору;bankalardagi mato bo'yoqlari;
;;кисть;brush;p?dzel; ?ыл?алам;;pinceau;;;пэндзаль;;;кисть;cho'tka;
;;поролоновая кисть;foam paint brush;;поролон ?ыл?аламы;;;;;паралонавы пэндзаль;;;к?б?к щетка;ko'pikli cho'tka;
;;акриловая краска;acrylic paint;farba akrylowa; акрил бояуы;;peinture acrylique;;;акрылавая фарба;;;акрил боегу;akril bo'yoq;
;;акриловые краски;acrylic paints;farby akrylowy; акрил бояулары;;peintures acrylique;;;акрылавыя фарбы;;;акрил боектору;akril bo'yoqlari;
;;акриловые краски в баночках;acrylic paints  in jars;; ??мыраларда?ы акрил бояулары;;;;;акрылавыя фарбы ў слоічках;;;банкалардагы акрил боектору;bankalardagi akril bo'yoqlari;
;;акриловая краска по ткани;textile acrylic paint;farba akrylowa do tkanin; мата акрил бояуы;;peinture acrylique textile;;;акрылавая фарба па тканіны;;;акрил кездеме боегу;akril mato bo'yoq;
;;акриловые краски по ткани;textile acrylic paints;farby akrylowy do tkanin; мата акрил бояулары;;peintures acrylique textile;;;акрылавыя фарбы па тканіны;;;акрил кездеме боектору;akril mato bo'yoqlari;
;;акриловые краски по ткани в баночках;acrylic textile paints in jars;;??мыраларда?ы акрил мата бояулары;;;;;акрылавыя фарбы па тканіны ў слоічках;;;акрил банкалардагы кездеме боектору;akril bankalardagi mato bo'yoqlari;
;;ткань конопляная;hemp fabric;tkanin? konopn?;?арасора матасы;;tissu de chanvre;;;канапляная тканіна;;;кара куурай кездеме;kanop mato;
;;деревянные бусины;wooden beads;drewniane koraliki;а?аш монша?тар;;perles en bois;;;драўляныя пацеркі;;;жыгач мончоктор;yog'och munchoqlar;
;;наполнитель 100% льняная целлюлоза;stiffing (100% linen cellulose);wype?niacz 100% celuloza lniana;толтыр?ыш 100% зы?ыр целлюлоза;;remplissage 100% cellulose en lin;;;напаўняльнік 100% ільняная цэлюлоза;;;;;
;;пробка на тканевой основе;cork on fabric basis;korek na bazie tkaniny;мата негізіндегі ты?ын;;li?ge sur base de tissu;;;корак на тканкавай аснове;;;кездеме негиздеги тыгын;mato asosidagi tiqin;
;;крепления для брошей;brooch fasteners;mocowania na broszk?;брошь арнал?ан бекіткіштер;;fixations pour la broche;;;мацавання для брошкі;;;брошь ?ч?н бекиткичтер;brosh uchun mahkamlashlar;
;;Шаблон для вырезания деталей;Template for cutting-out details;;;;;;;;;;;;
;;Вышивка счетными швами ;Counted stitch embroidery;Haft szwami licz?cymi;Cанау тігістері кестелеу; Z?hlstich-Stickerei;Broderie au point compt?;Bordado con punto de cruz;Ricamo con croce numerabile;Вышыўка падліковымі швамі;;;Эсептелген тигиштер менен сайма;Hisoblangan tikuvlar bilan tikuv;
